공간정보일련번호,관리번호,종류,등급,명칭,상태,도엽명,계획기관,표지상황,위치,위치_비고,측량연도,고시일자,고시번호,기준타원체,종축(x)좌표,횡축(y)좌표,정표고(h),직각좌표계원점
1124,20600,공공기준점,4급,SY07,양호,부산,(주)부산도시가스,동판,부산광역시 수영구,도로커브길 골목입구 가로등 앞에 위치(새주소 : 망미로 22번길 86),2015,,,GRS80,286070.143,209122.859,50.502,동부
1125,20601,공공기준점,4급,SY08,양호,부산,(주)부산도시가스,동판,부산광역시 수영구,수협입구 삼거리 횡단보도 중간지점에 위치 (새주소 : 망미로 22번길 37),2015,,,GRS80,286054.231,209341.164,42.407,동부
1126,20602,공공기준점,4급,SY09,양호,부산,(주)부산도시가스,동판,부산광역시 수영구,도로중앙 안전지대 내에 위치(새주소 : 수영로 741번길),2015,,,GRS80,285792.77,210976.442,2.878,동부
1127,20603,공공기준점,4급,SY10,양호,부산,(주)부산도시가스,동판,부산광역시 수영구,수영현대아파트 입구 도로중앙에 위치,2015,,,GRS80,285835.479,211054.303,2.802,동부
1128,20604,공공기준점,4급,SY11,양호,부산,(주)부산도시가스,동판,부산광역시 수영구,CU편의점 입구 체신맨홀 앞에 위치(새주소 : 무학로),2015,,,GRS80,285015.872,210703.619,9.941,동부
1129,20605,공공기준점,4급,SY12,양호,부산,(주)부산도시가스,동판,부산광역시 수영구,아우디 서비스센타 입구 사거리 횡단보도 끝지점보도경계석 코너 위에 위치 (새주소 : 무학로 60),2015,,,GRS80,284962.912,210951.8,7.379,동부
1130,20606,공공기준점,4급,SY13,양호,부산,(주)부산도시가스,동판,부산광역시 수영구,도로삼거리 맨홀 옆 코너에 위치(새주소 : 장대골로 19번가길 10),2015,,,GRS80,284609.759,210048.03,18.88,동부
1131,20607,공공기준점,4급,SY14,양호,부산,(주)부산도시가스,동판,부산광역시 수영구,도로삼거리 중앙지점 오수 맨홀 옆에 위치(새주소 : 장대골로 31번길 27),2015,,,GRS80,284639.472,209988.348,20.924,동부
1132,20608,공공기준점,4급,SY15,양호,부산,(주)부산도시가스,동판,부산광역시 수영구,부산문화방송 정문입구 횡단보도 끝지점보도경계석 코너에 위치(새주소 : 감포로 8번길 74),2015,,,GRS80,284804.66,211356.514,15.393,동부
1133,20609,공공기준점,4급,SY16,양호,부산,(주)부산도시가스,동판,부산광역시 수영구,부산문화방송 입구 삼거리 보도경계석 코너에 위치,2015,,,GRS80,284756.593,211369.862,11.083,동부
1134,20610,공공기준점,4급,NO001,양호,양산,한국전력공사,동판,부산 광역시 북구 금곡동,부산시 북구 인재개발원 정문에서 불암사 올라가는 삼거리  횡단보도에 위치함 ,2009,2010-04-01,2010-245,GRS80,196569.8444,201868.8555,42.3181,동부
1135,20611,공공기준점,4급,NO002,양호,양산,한국전력공사,동판,부산 광역시 북구 금곡동,부산시 북구 금곡 3주공 아파트 입구 좌측편 콘크리트에 위치  ,2009,2010-04-01,2010-245,GRS80,196516.0422,202008.6994,58.9199,동부
1136,20612,공공기준점,4급,NO003,양호,양산,한국전력공사,동판,부산 광역시 북구 금곡동,부산광역시 북구 금곡동 ㈜상진여객 버스주차장 입구 앞 삼거리 공중전화 박스 앞 경계석에 위치 ,2009,2010-04-01,2010-245,GRS80,196777.8613,201645.5528,13.6888,동부
1137,20613,공공기준점,4급,NO004,양호,양산,한국전력공사,동판,부산 광역시 북구 금곡동,부산은행 금곡점 앞 사거리 은행 대각선 맞은편 장애인 유도블럭 앞 도로에 위치함. ,2009,2010-04-01,2010-245,GRS80,196601.5887,201558.1432,14.5806,동부
1138,20614,공공기준점,4급,NO005,양호,양산,한국전력공사,동판,부산 광역시 북구 금곡동,부산광역시 북구 금곡동 금곡교회 앞 사거리에 이용실과 막졸리네 음식점 사이 횡단보도 중간도로에 위치 ,2009,2010-04-01,2010-245,GRS80,196441.9324,201517.3687,19.2399,동부
