공간정보일련번호,지형지물부호,등록구,관리기관,명칭,구경,형식,제작회사,최대유량,설치일자,급수계통,작동상태,맨홀지형지물부호,맨홀등록구,용도
493,유량계,해운대구,해운대사업소,중동 제31블록 유량계,400,초음파식,(주)씨엠엔텍,0,2018-04-24,중동가압장,양호,상수맨홀,해운대구,블록
110,유량계,수영구,시설관리사업소,연산학성,400,초음파식,자인테크놀로지(주),0,2018-04-18,망미가압장,양호,상수맨홀,수영구,권역
159,유량계,부산진구,시설관리사업소,범천경남,800,초음파식,자인테크롤로지(주),0,2018-04-18,사상가압장(신설),양호,상수맨홀,부산진구,권역
49,유량계,수영구,남부사업소,제10블록유량계,400,초음파식,씨엠엔텍,285122.39,2018-04-17,덕천가압장(시내),양호,-,수영구,블록
98,유량계,남구,남부사업소,제26블록 유량계,250,초음파식,씨엠엔텍,0,2018-04-17,덕천가압장(시내),양호,-,남구,블록
100,유량계,수영구,남부사업소,제18블록 유량계,250,초음파식,씨엠엔텍,282748.08,2018-04-17,덕천가압장(시내),양호,-,수영구,블록
101,유량계,수영구,남부사업소,제17블록 유량계,250,초음파식,씨엠엔텍,0,2018-04-17,덕천가압장(시내),양호,-,수영구,블록
376,유량계,서구,서부사업소,4블록유입유량계,100,전자식,서용,0,2018-04-17,대티2배수지,양호,-,서구,블록
529,유량계,사하구,시설관리사업소,대티,600,초음파식,자인테크놀리지(주),0,2018-04-17,괴정1가압장,양호,-,서구,권역
232,유량계,사하구,시설관리사업소,하구언,1200,초음파식,자인테크놀로지(주),0,2018-04-17,덕산정수장(공업직송),양호,상수맨홀,사하구,권역
"4,801",유량계,기장군,기장사업소,8-1블록 유량계,400,전자식,-,0,2018-04-17,좌동2배수지,양호,-,-,블록
71,유량계,사하구,사하사업소,7-1블록 유량계,200,전자식,서용엔지니어링,924,2018-04-13,대티2배수지,양호,-,사하구,블록
73,유량계,사하구,사하사업소,20블록 유량계,300,전자식,(주)서용엔지니어링,3399,2018-04-13,아미배수지,양호,-,사하구,블록
135,유량계,사하구,사하사업소,39블록 유량계,200,전자식,서용엔지니어링,278773.91,2018-04-13,사상가압장(기설),양호,-,사하구,블록
239,유량계,사하구,사하사업소,13블럭 유량계,200,전자식,(주)서용엔지니어링,278056.8,2018-04-13,덕산정수장(생활직송),양호,상수맨홀,사하구,블록
553,유량계,사하구,사하사업소,8블록 유량계설치,200,전자식,(주)서용엔지니어링,0,2018-04-13,사상가압장(기설),양호,-,사하구,블록
262,유량계,서구,서부사업소,9블록 유량계,200,전자식,서용,0,2018-04-03,사상가압장(기설),양호,-,서구,블록
286,유량계,서구,서부사업소,5블록 유량계,250,초음파식,씨엠텍,0,2018-04-03,사상가압장(기설),양호,-,서구,블록
