공간정보일련번호,지형지물부호,등록구,관리기관,행정동,허가번호,설치위치,방향,차도폭,길어깨(보도)의폭,높이,색상,도로구간번호,가로표지판규격,세로표지판규격,물건종류,허가구분
"1,415",사설안내표지판,부산진구,,전포3동,부산진구09115,전포3동 문전시장앞,황령터널에서 범냇골R 방면,7,,4,흰(미)색바탕 검정(계열)글자,제2도시고속도로(동서고가로),1500,800,의료시설,허가
"1,416",사설안내표지판,부산진구,,양정2동,부산진구09117,양정2동 동호슈퍼옆,동의의료원~연제구경계 도로상,8,1,4,흰(미)색바탕 남색글자,양연로,1400,800,기타,허가
"1,417",사설안내표지판,사상구,사상구,모라1동,사상구20091(8),모라동 1369번지,구포모라방향,,,5,흰(미)색바탕 진황색(계열)글자,,1100,550,종교시설,허가
"1,418",사설안내표지판,사상구,사상구,모라1동,사상구20093(10),모라동 1369(백양로),,,,5,흰(미)색바탕 진황색(계열)글자,,1100,550,,허가
"1,419",사설안내표지판,사상구,사상구,모라1동,사상구20092(9),모라동 1369(백양로),,,,5,흰(미)색바탕 진황색(계열)글자,,1100,550,,허가
"1,420",사설안내표지판,부산진구,,가야1동,부산진구09125,아파트 정문앞,초읍도서관 건너편,35,6,4,흰(미)색바탕 청색글자,가야로,1200,850,종교시설,허가
"1,421",사설안내표지판,사상구,사상구,괘법동,사상구200946(6),괘법동 518번지 앞 가로등(낙동로),감전동~구포 방향,30,3,5,흰(미)색바탕 녹색(계열)글자,"대영로, 낙동로,금곡로",1200,550,의료시설,허가
"1,422",사설안내표지판,사상구,사상구,모라1동,사상구20094(11),모라동 1369(백양로),,,,5,흰(미)색바탕 진황색(계열)글자,,1100,550,,허가
"1,423",사설안내표지판,부산진구,,초읍동,부산진구09124,가야1동 성수정형외과앞,가야1동 성수정형외과에서 태화현대 방면,30,5,3,흰(미)색바탕 청색글자,"낙동북로,제2백양로,월드컵길",1100,550,종교시설,허가
"1,424",사설안내표지판,사상구,사상구,괘법동,사상구200945(5),괘법동 55218번지 앞 가로등,,15,2,5,흰(미)색바탕 녹색(계열)글자,사상로,1200,550,의료시설,허가
